指标名称,activity,time,request,death,size,feedback,issue,quality,act_final,health
TP-Lab_tokens,4.1,3.69,6.89,0.0,3.0,5.92,2.93,3.2,4.89,4.2
trinodb_trino,8.45,6.45,5.19,0.2,3.0,5.68,6.78,10.0,6.67,7.49
trustwallet_assets,2.97,7.05,5.63,0.91,4.0,9.44,2.76,2.26,5.1,4.65
type-challenges_type-challenges,2.45,6.93,8.53,0.32,3.0,10.0,10.0,3.65,5.93,6.87
uBlockOrigin_uAssets,2.06,6.97,8.04,0.95,3.0,2.71,4.65,2.32,5.56,3.84
Ultimaker_Cura,1.82,4.7,5.58,0.95,3.0,2.54,5.87,5.56,3.91,4.52
ultralytics_yolov5,1.34,8.25,6.73,0.29,3.0,10.0,7.02,3.03,5.4,5.93
unifyai_ivy,4.64,8.41,4.62,1.11,3.0,10.0,7.55,1.9,5.74,5.8
ValveSoftware_Dota2-Gameplay,1.34,6.31,2.15,0.0,4.0,2.39,8.48,0.3,3.27,3.24
ValveSoftware_Proton,1.67,8.54,4.04,0.0,3.0,3.04,6.02,2.29,4.75,3.92
vectordotdev_vector,10.0,5.62,7.47,0.0,3.0,10.0,7.1,7.0,7.7,7.83
vercel_next.js,1.31,9.29,6.2,0.0,4.0,10.0,6.74,4.39,5.6,6.34
vitejs_vite,1.71,9.38,5.29,0.28,3.0,10.0,6.94,4.78,5.42,6.45
void-linux_void-packages,7.67,7.13,4.55,0.0,3.0,2.74,6.51,3.35,6.45,4.79
webcompat_web-bugs,1.61,5.32,6.59,0.1,3.0,2.7,8.81,0.28,4.49,3.73
wjz304_Redpill-CustomBuild,1.77,8.27,7.3,1.11,4.0,3.68,7.68,0.42,5.63,4.09
woocommerce_woocommerce,1.9,5.32,5.78,0.0,3.0,4.13,6.43,4.14,4.33,4.65
WordPress_gutenberg,8.39,8.09,4.67,0.54,3.0,2.88,6.75,7.37,6.98,6.23
xamarin_xamarin-macios,6.87,5.85,9.8,0.95,3.0,5.55,6.4,4.6,7.38,5.98
xbmc_xbmc,6.72,7.37,6.59,0.0,3.0,6.34,5.24,5.15,6.89,5.93
yt-dlp_yt-dlp,2.62,8.03,5.73,0.33,3.0,10.0,6.22,9.76,5.42,7.8
yuzu-emu_yuzu,4.43,6.16,7.09,0.16,3.0,10.0,7.05,5.26,5.87,6.75
zephyrproject-rtos_zephyr,7.41,7.01,5.53,0.48,3.0,6.99,6.6,8.35,6.59,7.2
zero-to-mastery_start-here-guidelines,4.69,5.66,7.85,0.32,3.0,6.66,2.92,2.63,6.02,4.51
ziglang_zig,4.53,7.97,7.07,3.11,3.0,10.0,7.68,4.68,6.11,6.77
zulip_zulip,6.44,5.98,4.21,0.0,3.0,9.26,5.71,5.51,5.54,6.31
