指标名称,指标值
openshift_openshift-docs,6.5
openshift_release,8.37
openssl_openssl,6.34
openvinotoolkit_openvino,5.72
openwrt_openwrt,5.58
oppia_oppia,9.34
PaddlePaddle_Paddle,5.27
PaddlePaddle_PaddleOCR,2.36
pandas-dev_pandas,3.92
php_php-src,6.34
pingcap_tidb,9.6
PixelExperience_android-issues,1.35
postmanlabs_postman-app-support,1.73
PowerShell_PowerShell,2.68
ppy_osu,4.09
PrestaShop_PrestaShop,5.72
prisma_prisma,2.01
project-chip_connectedhomeip,10.0
prusa3d_PrusaSlicer,1.58
python_cpython,6.36
pytorch_pytorch,7.29
qbittorrent_qBittorrent,1.42
qgis_QGIS,7.19
qmk_qmk-firmware,5.66
quarkusio_quarkus,5.29
rails_rails,3.24
rancher_rancher,2.24
rapid7_metasploit-framework,5.71
ray-project_ray,7.15
raycast_extensions,4.65
redis_redis,2.33
Regalis11_Barotrauma,2.15
remix-run_remix,3.31
renovatebot_renovate,4.7
RocketChat_Rocket.Chat,2.22
RPCS3_rpcs3,2.42
rstudio_rstudio,1.87
ruffle-rs_ruffle,1.54
rust-lang_rust,5.47
scikit-learn_scikit-learn,4.74
scipy_scipy,4.27
section-engineering-education_engineering-education,6.85
SerenityOS_serenity,9.43
ShadowMario_FNF-PsychEngine,1.93
Skyrat-SS13_Skyrat-tg,9.44
solana-labs_solana,10.0
solana-labs_token-list,6.33
sourcegraph_sourcegraph,10.0
spack_spack,9.74
spyder-ide_spyder,1.38
storybookjs_storybook,1.88
strapi_strapi,1.98
sveltejs_kit,2.58
symfony_symfony,3.21
systemd_systemd,3.07
tachiyomiorg_tachiyomi,1.21
tachiyomiorg_tachiyomi-extensions,1.87
tailscale_tailscale,3.97
taosdata_TDengine,7.94
taozhiyu_TyProAction,1.4
TeamNewPipe_NewPipe,2.24
tensorflow_tensorflow,2.26
termux_termux-packages,1.92
tgstation_tgstation,6.23
TP-Lab_tokens,4.1
trinodb_trino,8.45
trustwallet_assets,2.97
type-challenges_type-challenges,2.45
uBlockOrigin_uAssets,2.06
Ultimaker_Cura,1.82
ultralytics_yolov5,1.34
unifyai_ivy,4.64
ValveSoftware_Dota2-Gameplay,1.34
ValveSoftware_Proton,1.67
vectordotdev_vector,10.0
vercel_next.js,1.31
vitejs_vite,1.71
void-linux_void-packages,7.67
webcompat_web-bugs,1.61
wjz304_Redpill-CustomBuild,1.77
woocommerce_woocommerce,1.9
WordPress_gutenberg,8.39
xamarin_xamarin-macios,6.87
xbmc_xbmc,6.72
yt-dlp_yt-dlp,2.62
yuzu-emu_yuzu,4.43
zephyrproject-rtos_zephyr,7.41
zero-to-mastery_start-here-guidelines,4.69
ziglang_zig,4.53
zulip_zulip,6.44
