Ö¸±êÃû³Æ,activity,time,request,death,size,feedback,issue,quality,act_final,health,stars,month,contributor,fork
dotnet_AspNetCore.Docs,4.25,5.69,8.89,0.41,3,10,7.47,4.7,6.22,6.77,13438,98,3910,32411
dotnet_docs,4.62,4.03,8.19,2.11,3,4.58,7.51,4.64,5.33,5.41,4248,95,6004,8071
dotnet_efcore,2.12,5.3,7.99,0,3,3.75,8.07,5.8,5.14,5.65,12945,99,2056,4169
dotnet_maui,3.47,7.02,5.68,2.29,3,10,7.23,3.57,5.08,6.04,21270,35,1025,1552
dotnet_roslyn,6.9,6.09,5.25,0,3,3.97,7.05,9.85,6.08,6.98,19788,99,4845,5669
dotnet_runtime,5.54,8.79,6.61,0,3,2.98,6.67,8.87,6.98,6.68,12860,41,5629,4875
education_GitHubGraduation-2022,5.69,6,4.94,9.09,4,4.44,4.41,2.67,4.33,3.87,1645,11,5324,7960
elastic_elasticsearch,6.45,7.79,6.83,0,3,9.13,5.86,6.24,7.02,6.98,62531,99,8187,27372
elastic_kibana,6.22,7.1,7.41,0,3,3.23,6.58,5.45,6.91,5.67,17564,99,10492,8828
electron_electron,1.24,7.64,7.22,0,3,10,6.97,4.32,5.37,6.3,117969,99,4181,20747
element-fi_elf-council-frontend,2.06,0.33,4.63,2.22,4,9.58,3.64,0,2.04,3.26,150,9,15,117
element-plus_element-plus,3.26,5.74,6.66,0,3,10,6.22,4.16,5.22,6.06,20515,32,1446,9757
elementor_elementor,1.84,5.2,6.25,0.48,3,2.64,7.63,5.8,4.37,5.11,5656,83,1141,1594
envoyproxy_envoy,7.09,6.85,6.74,0.63,3,7.89,6.68,10,6.81,7.96,22723,79,4387,4806
espressif_esp-idf,2.89,6.95,3.27,0.5,3,4.97,7,2.8,4.3,4.52,11075,80,4319,7852
ethereum_ethereum-org-website,4.73,2.89,7.78,1.11,3,8.3,7.06,4.66,4.99,5.97,4319,54,2136,4406
Expensify_App,9.32,5.59,7.21,0,3,2.19,4.82,7.07,7.37,5.73,886,28,2104,961
expo_expo,1.86,7.08,4.69,1.12,3,7.01,7.11,4.67,4.39,5.54,21308,80,3357,5093
facebook_react,1.29,9.88,5.77,0,3,10,6.47,5.14,5.65,6.53,228316,97,3091,59469
facebook_react-native,2.23,8.69,3.31,0,4,6.86,6.58,3.01,4.74,5.01,126766,97,8211,31878
filecoin-project_filecoin-plus-large-datasets,1.48,3.6,5.29,1.3,3,1.69,6.04,1.01,3.28,2.83,144,23,15,79
files-community_Files,2.29,6.62,9.43,2.94,3,10,7.05,4.26,5.72,6.4,29405,51,863,2615
firebase_firebase-android-sdk,6.48,3.94,7.59,0,3,3.26,4.02,7.23,6,5.42,2191,55,1462,599
firebase_flutterfire,2.07,4.5,5.09,0.23,3,4.26,6.34,4.85,3.86,4.73,8535,44,1042,4607
firstcontributions_first-contributions,4.67,7.93,7.47,2.53,4,8.53,4.22,1.36,6.35,4.86,37123,79,50383,77199
flathub_flathub,2.12,4.69,4.06,0.14,3,3.05,4.79,10,3.6,5.65,998,72,65,2251
